파일,Step,타이틀,CPT코드,이유,Action(앞80자)
2014/2014.6모A_30.md,2,두 관계식 각각에서 범위 조건으로 유효 순서쌍 개수를 세어 합산하기,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)","[12대수01-02] $n=20m$: $m=1,2,3,4$ → 4쌍. $n=5m$: $m=1,\ldots,19$ → 19쌍. 합$=23$"
2014/2014.9모A_27.md,2,방정식의 근을 이용하여 점의 좌표 구하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] 곡선 함수와 접선 방정식을 연립하여 식의 교점 중 $x \neq -1$ 인 값 찾기
2014/2014.9모A_28.md,3,다항함수의 값을 이용하여 최종값 산출하기,12미적Ⅰ-02-03,"키워드 미매칭 (코드: 12미적Ⅰ-02-03, 키워드: 도함수, 도함수, 미분, f'(x), 도함수를)",[12미적Ⅰ-02-03] 구한 $k$ 를 $f(x)$ 식에 대입해 $f(0)$ 을 확정하고 60 곱셈
2014/2014.9모A_21.md,2,매개변수의 이차함수로 변환하여 닫힌 구간에서 최댓값·최솟값 산출하기,12미적Ⅰ-02-02,"키워드 미매칭 (코드: 12미적Ⅰ-02-02, 키워드: 미분가능성, 연속성, 미분가능성, 연속성, 미분가능)","[12미적Ⅰ-02-02] $a^2+b^2=2r_2^2-2r_2+1$. $r_2=1/2$에서 최소$=1/2$, $r_2=2$에서 최대$=5$. $"
2014/2014.9모A_29.md,1,[그림 n]의 경로 구조 분석으로 점화식 수립,10공수1-03-02,"키워드 미매칭 (코드: 10공수1-03-02, 키워드: 순열, 순열, npr)",[10공수1-03-02] [그림 n]의 최단경로 수 $a_n$을 이전 단계의 경로 수로 표현
2014/2014.9모A_30.md,1,지수 치환으로 이차부등식의 유효 범위를 분석하여 수열의 일반항 확정하기,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)","[12대수01-02] $(2^k-2^n)(2^k-4^n)\leq1$. $n\leq k\leq2n$이면 좌변$\leq0\leq1$. $k=n-1,"
2014/2014수능A_23.md,1,우함수와 기함수의 정적분 성질을 이용하여 식 간단히 하기,12미적Ⅰ-03-05,"키워드 미매칭 (코드: 12미적Ⅰ-03-05, 키워드: 도형의 넓이, 도형의 넓이, 넓이, 곡선으로 둘러싸인, 면적)","[12미적Ⅰ-03-05] 기함수인 홀수차항 $2x$ 의 적분값을 0으로 소거하고, 우함수인 짝수차항 $3x^2$ 에 대하여 $2 \int_0^a"
2014/2014수능A_25.md,2,다항함수의 값을 이용하여 최종 극댓값과 식의 값 계산하기,12미적Ⅰ-02-03,"키워드 미매칭 (코드: 12미적Ⅰ-02-03, 키워드: 도함수, 도함수, 미분, f'(x), 도함수를)",[12미적Ⅰ-02-03] $f(x)$ 식에 구한 $a$ 를 대입하고 $x=1$ 을 넣어 함숫값 $M = f(1)$ 도출 후 $a$ 와 더함
2014/2014수능A_30.md,1,세 경계 곡선의 교점 및 영역 파악으로 격자점 탐색 범위 설정,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)",[12대수01-02] 세 곡선의 교점을 구하여 영역의 경계를 파악
2014/2014수능A_30.md,2,각 정수 x좌표에서 격자점 개수 계산,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)","[12대수01-02] 각 정수 $x = 0, 1, 2, 3, 4$에서 $y$의 정수 범위 계산"
